iter	Passed	Remaining
0	0	885
1	1	690
2	1	639
3	2	637
4	3	639
5	3	621
6	4	626
7	4	618
8	5	610
9	6	607
10	6	602
11	7	594
12	7	585
13	8	581
14	8	584
15	9	579
16	9	567
17	10	559
18	10	557
19	11	553
20	11	552
21	12	549
22	12	547
23	13	544
24	13	542
25	14	531
26	14	531
27	15	525
28	15	523
29	16	522
30	16	521
31	17	520
32	17	520
33	18	520
34	18	520
35	19	520
36	19	520
37	20	518
38	21	519
39	21	520
40	22	519
41	22	518
42	23	516
43	23	516
44	24	515
45	24	514
46	25	513
47	25	512
48	26	512
49	26	508
50	27	509
51	27	510
52	28	509
53	29	508
54	29	507
55	30	505
56	30	505
57	31	505
58	31	504
59	32	503
60	32	502
61	33	501
62	33	502
63	34	503
64	34	502
65	35	502
66	36	501
67	36	500
68	36	498
69	37	498
70	38	497
71	38	497
72	39	496
73	39	496
74	40	497
75	40	497
76	41	496
77	42	496
78	42	495
79	42	493
80	43	492
81	43	491
82	44	490
83	44	489
84	45	488
85	45	488
86	46	489
87	47	489
88	47	489
89	48	489
90	48	488
91	49	489
92	50	489
93	50	489
94	51	488
95	51	487
96	52	486
97	52	486
98	53	488
99	54	488
100	54	488
101	55	487
102	55	486
103	56	484
104	56	483
105	57	482
106	57	481
107	58	480
108	58	480
109	59	480
110	59	479
111	60	478
112	60	477
113	61	476
114	61	475
115	62	475
116	62	474
117	63	473
118	63	473
119	64	471
120	64	471
121	65	472
122	66	470
123	66	470
124	67	469
125	67	469
126	68	468
127	68	468
128	69	468
129	69	468
130	70	468
131	71	469
132	72	469
133	72	469
134	73	468
135	73	468
136	74	467
137	74	466
138	75	465
139	75	465
140	76	464
141	76	463
142	77	463
143	78	463
144	78	463
145	79	462
146	79	461
147	80	460
148	80	460
149	81	459
150	81	458
151	82	458
152	82	457
153	83	456
154	83	456
155	84	456
156	84	456
157	85	455
158	86	455
159	86	454
160	86	453
161	87	452
162	87	451
163	88	450
164	88	450
165	89	449
166	90	449
167	90	449
168	91	448
169	91	448
170	92	447
171	92	446
172	93	446
173	93	445
174	94	444
175	94	443
176	95	443
177	96	447
178	97	446
179	97	446
180	98	445
181	99	445
182	99	444
183	100	443
184	100	442
185	101	442
186	101	441
187	102	440
188	102	440
189	103	439
190	103	439
191	104	438
192	104	437
193	105	436
194	105	436
195	106	435
196	106	434
197	107	434
198	107	433
199	108	432
200	108	432
201	109	432
202	109	431
203	110	431
204	111	430
205	111	430
206	112	429
207	112	429
208	113	429
209	114	428
210	114	428
211	115	428
212	115	428
213	116	428
214	117	427
215	117	426
216	118	426
217	118	425
218	119	425
219	119	424
220	120	423
221	120	423
222	121	422
223	121	422
224	122	422
225	123	421
226	123	420
227	124	420
228	124	419
229	125	418
230	125	418
231	126	417
232	126	416
233	127	416
234	127	416
235	128	415
236	129	415
237	129	414
238	130	414
239	130	413
240	131	412
241	131	412
242	132	411
243	132	410
244	133	410
245	133	409
246	134	409
247	134	408
248	135	408
249	135	407
250	136	407
251	136	406
252	137	406
253	138	405
254	138	405
255	139	404
256	139	404
257	140	403
258	141	403
259	141	403
260	142	402
261	142	401
262	143	401
263	143	400
264	144	399
265	144	399
266	145	398
267	145	397
268	146	397
269	146	397
270	147	396
271	148	396
272	148	396
273	149	395
274	149	394
275	150	394
276	150	393
277	151	393
278	151	392
279	152	392
280	153	391
281	153	391
282	154	390
283	154	389
284	155	389
285	155	388
286	156	388
287	156	387
288	157	387
289	157	386
290	158	385
291	158	385
292	159	385
293	160	384
294	160	383
295	161	383
296	161	382
297	162	382
298	162	381
299	163	381
300	163	380
301	164	380
302	164	379
303	165	379
304	166	378
305	166	378
306	167	377
307	167	376
308	168	375
309	168	375
310	169	374
311	169	374
312	170	373
313	170	372
314	171	372
315	171	371
316	172	371
317	172	370
318	173	370
319	173	369
320	174	369
321	174	368
322	175	367
323	176	367
324	176	366
325	177	366
326	177	366
